City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Muisne,EC,2020-08-16 18:52:05,0.6,-80.03,84.2,74,75,4.7
1,Port Alfred,ZA,2020-08-16 18:52:05,-33.59,26.89,53.08,63,0,17.74
2,Qaanaaq,GL,2020-08-16 18:52:05,77.48,-69.36,41.52,64,0,3.69
3,Saint-Philippe,RE,2020-08-16 18:52:05,-21.36,55.77,66.2,68,42,5.82
4,Upernavik,GL,2020-08-16 18:52:05,72.79,-56.15,41.58,67,0,8.57
5,Tarija,BO,2020-08-16 18:52:06,-21.54,-64.73,74.34,19,0,12.21
6,Fortuna,US,2020-08-16 18:52:06,40.6,-124.16,80.01,59,98,5.61
7,Jamestown,US,2020-08-16 18:48:49,42.1,-79.24,75.99,60,75,4.7
8,Biak,ID,2020-08-16 18:52:06,-0.91,122.88,73.9,85,100,10.16
9,Gribanovskiy,RU,2020-08-16 18:52:07,51.46,41.98,60.01,68,78,5.59
10,Hobart,AU,2020-08-16 18:49:50,-42.88,147.33,52.0,93,90,10.29
11,Punta Arenas,CL,2020-08-16 18:52:07,-53.15,-70.92,37.4,74,20,23.04
12,Hermanus,ZA,2020-08-16 18:52:07,-34.42,19.23,46.0,86,100,3.42
13,Jinchang,CN,2020-08-16 18:52:07,38.5,102.17,66.63,45,100,10.67
14,Pochutla,MX,2020-08-16 18:52:08,15.74,-96.47,80.6,78,90,4.47
15,Acapulco,MX,2020-08-16 18:52:08,16.86,-99.89,75.2,100,90,3.36
16,Severo-Kurilsk,RU,2020-08-16 18:52:09,50.68,156.12,49.84,91,72,7.63
17,Rikitea,PF,2020-08-16 18:47:27,-23.12,-134.97,70.32,79,0,13.94
18,Provideniya,RU,2020-08-16 18:52:09,64.38,-173.3,54.82,64,100,6.82
19,Arroio Grande,BR,2020-08-16 18:52:09,-32.24,-53.09,58.23,49,0,9.71
20,Kruisfontein,ZA,2020-08-16 18:52:10,-34.0,24.73,51.01,63,99,3.0
21,Butaritari,KI,2020-08-16 18:52:10,3.07,172.79,81.5,66,100,4.27
22,Ponta Do Sol,PT,2020-08-16 18:52:10,32.67,-17.1,73.0,69,0,0.63
23,Dubti,ET,2020-08-16 18:52:11,11.74,41.09,96.04,36,0,3.65
24,Tasiilaq,GL,2020-08-16 18:52:11,65.61,-37.64,44.6,87,100,5.82
25,Arraial Do Cabo,BR,2020-08-16 18:52:11,-22.97,-42.03,77.0,83,40,10.29
26,Maragogi,BR,2020-08-16 18:49:48,-9.01,-35.22,77.72,78,1,11.72
27,Bemidji,US,2020-08-16 18:52:11,47.47,-94.88,73.99,53,75,4.7
28,Carnarvon,AU,2020-08-16 18:52:12,-24.87,113.63,51.8,100,87,4.7
29,Salalah,OM,2020-08-16 18:52:12,17.02,54.09,77.0,100,90,5.82
30,Ushuaia,AR,2020-08-16 18:52:12,-54.8,-68.3,33.8,80,75,35.57
31,Leningradskiy,RU,2020-08-16 18:52:12,69.38,178.42,47.79,83,100,6.06
32,Hovd,MN,2020-08-16 18:52:13,48.01,91.64,57.06,71,100,4.16
33,Prince Rupert,CA,2020-08-16 18:52:13,54.32,-130.32,60.8,93,90,14.99
34,Cockburn Town,TC,2020-08-16 18:52:13,21.46,-71.14,86.0,70,40,9.17
35,Barrow,US,2020-08-16 18:52:13,71.29,-156.79,39.2,100,90,12.75
36,Kokopo,PG,2020-08-16 18:52:14,-4.35,152.26,76.98,88,4,11.88
37,Puerto Ayora,EC,2020-08-16 18:52:14,-0.74,-90.35,73.4,60,45,21.92
38,Pangnirtung,CA,2020-08-16 18:52:14,66.15,-65.71,51.8,76,90,24.16
39,Alexandria,EG,2020-08-16 18:48:07,31.22,29.96,80.6,78,20,11.41
40,Mar Del Plata,AR,2020-08-16 18:50:34,-38.0,-57.56,60.8,52,18,23.04
41,Yellowknife,CA,2020-08-16 18:50:46,62.46,-114.35,59.0,62,75,11.41
42,Saint Anthony,US,2020-08-16 18:50:02,45.02,-93.22,82.99,42,1,9.17
43,Nanortalik,GL,2020-08-16 18:48:01,60.14,-45.24,44.42,70,40,10.04
44,Bethel,US,2020-08-16 18:52:15,41.37,-73.41,66.2,88,90,6.93
45,Dikson,RU,2020-08-16 18:52:16,73.51,80.55,42.3,93,74,13.0
46,Xai-Xai,MZ,2020-08-16 18:52:16,-25.05,33.64,68.67,74,21,16.96
47,Lonar,IN,2020-08-16 18:52:16,19.98,76.53,72.5,95,100,9.44
48,Huilong,CN,2020-08-16 18:52:16,31.81,121.66,84.0,81,0,1.99
49,Kapaa,US,2020-08-16 18:52:17,22.08,-159.32,78.8,83,90,4.7
50,Tuktoyaktuk,CA,2020-08-16 18:52:17,69.45,-133.04,50.0,93,90,6.93
51,Codrington,AU,2020-08-16 18:52:17,-38.27,141.97,43.12,90,89,6.73
52,Cape Town,ZA,2020-08-16 18:50:15,-33.93,18.42,52.0,81,20,4.7
53,Mataura,NZ,2020-08-16 18:52:17,-46.19,168.86,37.0,97,53,1.99
54,Skjervoy,NO,2020-08-16 18:52:18,70.03,20.97,48.2,76,40,18.34
55,Kesabpur,BD,2020-08-16 18:52:18,22.92,89.22,80.2,88,100,10.0
56,Klyuchi,RU,2020-08-16 18:52:18,52.27,79.17,62.15,67,85,10.49
57,Harda,IN,2020-08-16 18:52:18,22.33,77.1,76.84,93,100,11.86
58,Khatanga,RU,2020-08-16 18:52:18,71.97,102.5,57.33,92,95,5.66
59,Hilo,US,2020-08-16 18:52:19,19.73,-155.09,80.6,69,40,5.37
60,Astoria,US,2020-08-16 18:47:35,46.19,-123.83,73.4,69,1,4.7
61,Faanui,PF,2020-08-16 18:52:19,-16.48,-151.75,77.45,75,0,14.52
62,Castro,BR,2020-08-16 18:52:20,-24.79,-50.01,62.56,87,99,9.08
63,Hambantota,LK,2020-08-16 18:52:20,6.12,81.12,78.8,88,77,4.7
64,Tual,ID,2020-08-16 18:52:20,-5.67,132.75,79.14,78,52,20.24
65,Atuona,PF,2020-08-16 18:52:20,-9.8,-139.03,77.86,75,0,17.74
66,Kodiak,US,2020-08-16 18:52:21,57.79,-152.41,62.4,67,0,3.44
67,Novo Aripuana,BR,2020-08-16 18:52:21,-5.12,-60.38,101.12,23,95,5.23
68,Portel,BR,2020-08-16 18:52:21,-1.94,-50.82,94.77,38,95,4.36
69,Busselton,AU,2020-08-16 18:52:22,-33.65,115.33,46.0,80,84,13.67
70,Dingle,PH,2020-08-16 18:52:22,11.0,122.67,75.61,88,100,2.37
71,Gemona,IT,2020-08-16 18:52:22,46.28,13.14,81.0,68,100,2.93
72,Berlevag,NO,2020-08-16 18:52:22,70.86,29.09,44.6,100,75,25.28
73,Ayan,RU,2020-08-16 18:52:22,56.45,138.17,54.52,92,100,9.86
74,Bluff,NZ,2020-08-16 18:52:23,-46.6,168.33,37.0,97,57,1.99
75,Adrar,MR,2020-08-16 18:52:23,20.5,-10.07,109.44,11,85,3.31
76,Zeya,RU,2020-08-16 18:52:23,53.75,127.27,47.39,92,0,3.09
77,Batsfjord,NO,2020-08-16 18:52:23,70.63,29.72,44.6,100,75,25.28
78,Kurilsk,RU,2020-08-16 18:52:24,45.23,147.88,58.1,95,98,6.35
79,Port Elizabeth,ZA,2020-08-16 18:52:24,-33.92,25.57,50.0,81,64,16.11
80,Okha,RU,2020-08-16 18:52:24,53.57,142.95,52.81,93,100,7.38
81,Sitka,US,2020-08-16 18:52:24,57.05,-135.33,55.4,87,90,2.91
82,Bose,IT,2020-08-16 18:52:24,45.46,8.01,73.99,91,100,5.95
83,Talnakh,RU,2020-08-16 18:52:25,69.49,88.4,59.0,58,99,8.95
84,Asau,RO,2020-08-16 18:52:25,46.43,26.4,64.0,84,33,2.19
85,Karpogory,RU,2020-08-16 18:52:25,64.0,44.45,45.72,93,0,5.75
86,Ribeira Grande,PT,2020-08-16 18:52:25,38.52,-28.7,75.2,88,40,17.22
87,Isangel,VU,2020-08-16 18:52:26,-19.55,169.27,69.8,88,100,3.36
88,Cidreira,BR,2020-08-16 18:52:26,-30.18,-50.21,57.09,50,0,6.91
89,Thompson,CA,2020-08-16 18:47:57,55.74,-97.86,60.8,67,75,13.87
90,Muswellbrook,AU,2020-08-16 18:52:26,-32.27,150.9,45.99,85,18,8.75
91,Torbay,CA,2020-08-16 18:52:27,47.67,-52.73,71.01,45,5,10.29
92,Saint George,US,2020-08-16 18:52:27,37.1,-113.58,105.01,11,1,3.36
93,Bafra,TR,2020-08-16 18:52:27,41.57,35.91,69.8,73,40,3.36
